flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-05-22,scheduled,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-05-22T05:40:00+00:00,2026-05-22T05:40:00+00:00,,,,Tashkent International,Asia/Tashkent,TAS,UZTT,2,,,2026-05-22T09:10:00+00:00,,,,,,Air India,AI,AIC,7113,AI7113,AIC7113,uzbekistan airways,hy,uzb,428,hy428,uzb428,,,,,,
2026-05-22,scheduled,,Charles De Gaulle,Europe/Paris,CDG,LFPG,,,,2026-05-22T03:30:00+00:00,2026-05-22T03:30:00+00:00,,,,Helsinki-vantaa,Europe/Helsinki,HEL,EFHK,,,,2026-05-22T07:28:00+00:00,20.0,,,,,ASL Airlines,5H,ABR,4267,5H4267,ABR4267,,,,,,,,,,440D92,,
2026-05-22,scheduled,,Charles De Gaulle,Europe/Paris,CDG,LFPG,,,,2026-05-22T03:00:00+00:00,2026-05-22T03:00:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T07:25:00+00:00,,,,,,MNG Airlines,MB,MNB,325,MB325,MNB325,,,,,,,,,,4BB46E,,
2026-05-22,scheduled,,Charles De Gaulle,Europe/Paris,CDG,LFPG,,,,2026-05-22T02:50:00+00:00,2026-05-22T02:50:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,T1,,,2026-05-22T04:20:00+00:00,,,,,,DHL Air,D0,DHK,7332,D07332,DHK7332,,,,,,,,,,3C70B5,,
2026-05-22,scheduled,,Brussels Airport,Europe/Brussels,BRU,EBBR,,,,2026-05-22T03:00:00+00:00,2026-05-22T03:00:00+00:00,,,,Vitoria,Europe/Madrid,VIT,LEVT,,,,2026-05-22T04:46:00+00:00,,,,,,DHL Air,D0,DHK,,D0,DHK,,,,,,,,,,3C1BAF,,
2026-05-22,scheduled,,Brussels Airport,Europe/Brussels,BRU,EBBR,,,,2026-05-22T02:55:00+00:00,2026-05-22T02:55:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,,,,2026-05-22T04:28:00+00:00,,,,,,DHL Air,D0,DHK,,D0,DHK,,,,,,,,,,3C5424,,
2026-05-22,scheduled,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,21,,2026-05-22T06:15:00+00:00,2026-05-22T06:15:00+00:00,,,,Canberra,Australia/Sydney,CBR,YSCB,,9,,2026-05-22T08:25:00+00:00,,,,,,QantasLink,,QLK,1794,,QLK1794,,,,,,,,,,7C7778,,
2026-05-22,scheduled,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,,2026-05-22T07:15:00+00:00,2026-05-22T07:15:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,62,2026-05-22T09:20:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,1789,ZH1789,CSZ1789,air china,ca,cca,1789,ca1789,cca1789,,,,781DD6,,
2026-05-22,scheduled,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,,2026-05-22T07:15:00+00:00,2026-05-22T07:15:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,62,2026-05-22T09:20:00+00:00,,,,,,Shandong Airlines,SC,CDG,5513,SC5513,CDG5513,air china,ca,cca,1789,ca1789,cca1789,,,,781DD6,,
2026-05-22,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,2,,,2026-05-22T07:10:00+00:00,2026-05-22T07:10:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,,,,2026-05-22T09:15:00+00:00,,,,,,China Southern Airlines,CZ,CSN,2339,CZ2339,CSN2339,chongqing airlines,oq,cqn,2339,oq2339,cqn2339,,,,,,
